# pixel_index	counts_u16	rel_intensity
174.000000	1294	0.0197451743
175.000000	1353	0.0206454566
176.000000	1099	0.0167696651
177.000000	1227	0.0187228199
178.000000	1042	0.0158999008
179.000000	1634	0.0249332418
180.000000	1161	0.0177157244
181.000000	1340	0.0204470893
182.000000	1258	0.0191958495
183.000000	1225	0.0186923018
184.000000	1307	0.0199435416
185.000000	1100	0.0167849241
186.000000	1373	0.0209506371
187.000000	1386	0.0211490043
188.000000	1206	0.0184023804
189.000000	1082	0.0165102617
190.000000	1148	0.0175173571
191.000000	1478	0.0225528344
192.000000	913	0.0139314870
193.000000	1147	0.0175020981
194.000000	1032	0.0157473106
195.000000	1026	0.0156557565
196.000000	1169	0.0178377966
197.000000	1022	0.0155947204
198.000000	1067	0.0162813764
199.000000	989	0.0150911727
200.000000	1003	0.0153047990
201.000000	1203	0.0183566033
202.000000	1020	0.0155642023
203.000000	1040	0.0158693828
204.000000	1186	0.0180972000
205.000000	1414	0.0215762570
206.000000	1243	0.0189669642
207.000000	1123	0.0171358816
208.000000	1227	0.0187228199
209.000000	1524	0.0232547494
210.000000	1302	0.0198672465
211.000000	1193	0.0182040131
212.000000	1107	0.0168917372
213.000000	949	0.0144808118
214.000000	1397	0.0213168536
215.000000	1375	0.0209811551
216.000000	1078	0.0164492256
217.000000	959	0.0146334020
218.000000	1403	0.0214084077
219.000000	1120	0.0170901045
220.000000	1389	0.0211947814
221.000000	1198	0.0182803082
222.000000	1377	0.0210116732
223.000000	902	0.0137636378
224.000000	1365	0.0208285649
225.000000	1148	0.0175173571
226.000000	1532	0.0233768215
227.000000	1046	0.0159609369
228.000000	935	0.0142671855
229.000000	1291	0.0196993973
230.000000	1584	0.0241702907
231.000000	1357	0.0207064927
232.000000	1361	0.0207675288
233.000000	1282	0.0195620661
234.000000	1005	0.0153353170
235.000000	1126	0.0171816587
236.000000	1357	0.0207064927
237.000000	1364	0.0208133059
238.000000	1307	0.0199435416
239.000000	1325	0.0202182040
240.000000	1012	0.0154421302
241.000000	1246	0.0190127413
242.000000	1299	0.0198214694
243.000000	1111	0.0169527733
244.000000	1065	0.0162508583
245.000000	1257	0.0191805905
246.000000	1104	0.0168459602
247.000000	1228	0.0187380789
248.000000	1231	0.0187838560
249.000000	1296	0.0197756924
250.000000	1104	0.0168459602
251.000000	1031	0.0157320516
252.000000	1026	0.0156557565
253.000000	1521	0.0232089723
254.000000	1206	0.0184023804
255.000000	1160	0.0177004654
256.000000	1263	0.0192721447
257.000000	1034	0.0157778286
258.000000	1462	0.0223086900
259.000000	1296	0.0197756924
260.000000	1029	0.0157015335
261.000000	1560	0.0238040742
262.000000	902	0.0137636378
263.000000	1684	0.0256961929
264.000000	1293	0.0197299153
265.000000	1410	0.0215152209
266.000000	1244	0.0189822232
267.000000	1310	0.0199893187
268.000000	1204	0.0183718624
269.000000	1205	0.0183871214
270.000000	1553	0.0236972610
271.000000	1281	0.0195468070
272.000000	1199	0.0182955673
273.000000	1314	0.0200503548
274.000000	1150	0.0175478752
275.000000	1102	0.0168154421
276.000000	1311	0.0200045777
277.000000	1404	0.0214236667
278.000000	1138	0.0173647669
279.000000	1162	0.0177309834
280.000000	1337	0.0204013123
281.000000	1079	0.0164644846
282.000000	1199	0.0182955673
283.000000	1074	0.0163881895
284.000000	1219	0.0186007477
285.000000	1066	0.0162661173
286.000000	868	0.0132448310
287.000000	1206	0.0184023804
288.000000	1011	0.0154268711
289.000000	1041	0.0158846418
290.000000	1230	0.0187685969
291.000000	1269	0.0193636988
292.000000	1139	0.0173800259
293.000000	1060	0.0161745632
294.000000	1315	0.0200656138
295.000000	1338	0.0204165713
296.000000	1312	0.0200198367
