# pixel_index	counts_u16	rel_intensity
133.000000	2333	0.0355992981
134.000000	2418	0.0368963149
135.000000	2046	0.0312199588
136.000000	2208	0.0336919203
137.000000	2614	0.0398870832
138.000000	1978	0.0301823453
139.000000	2137	0.0326085298
140.000000	2359	0.0359960327
141.000000	2380	0.0363164721
142.000000	2345	0.0357824063
143.000000	2296	0.0350347143
144.000000	2576	0.0393072404
145.000000	2036	0.0310673686
146.000000	2149	0.0327916381
147.000000	2176	0.0332036316
148.000000	2312	0.0352788586
149.000000	2408	0.0367437247
150.000000	1997	0.0304722667
151.000000	2192	0.0334477760
152.000000	2356	0.0359502556
153.000000	2344	0.0357671473
154.000000	2481	0.0378576333
155.000000	2399	0.0366063935
156.000000	2226	0.0339665827
157.000000	2344	0.0357671473
158.000000	2325	0.0354772259
159.000000	2240	0.0341802090
160.000000	2325	0.0354772259
161.000000	2438	0.0372014954
162.000000	2391	0.0364843214
163.000000	2704	0.0412603952
164.000000	2580	0.0393682765
165.000000	2113	0.0322423133
166.000000	2620	0.0399786374
167.000000	2297	0.0350499733
168.000000	2098	0.0320134279
169.000000	2550	0.0389105058
170.000000	2253	0.0343785763
171.000000	2408	0.0367437247
172.000000	2093	0.0319371328
173.000000	2254	0.0343938354
174.000000	2539	0.0387426566
175.000000	2396	0.0365606165
176.000000	2184	0.0333257038
177.000000	2397	0.0365758755
178.000000	2480	0.0378423743
179.000000	2245	0.0342565042
180.000000	2337	0.0356603342
181.000000	2351	0.0358739605
182.000000	2442	0.0372625315
183.000000	2406	0.0367132067
184.000000	2193	0.0334630350
185.000000	2476	0.0377813382
186.000000	2293	0.0349889372
187.000000	2520	0.0384527352
188.000000	2405	0.0366979477
189.000000	2523	0.0384985122
190.000000	2344	0.0357671473
191.000000	2242	0.0342107271
192.000000	2369	0.0361486229
193.000000	2325	0.0354772259
194.000000	2268	0.0346074617
195.000000	2167	0.0330663005
196.000000	2249	0.0343175402
197.000000	2340	0.0357061112
198.000000	2283	0.0348363470
199.000000	2228	0.0339971008
200.000000	2276	0.0347295338
201.000000	2169	0.0330968185
202.000000	2211	0.0337376974
203.000000	2190	0.0334172580
204.000000	2194	0.0334782940
205.000000	2221	0.0338902876
206.000000	2382	0.0363469902
207.000000	2352	0.0358892195
208.000000	2227	0.0339818418
209.000000	2262	0.0345159075
210.000000	2317	0.0353551537
211.000000	2165	0.0330357824
212.000000	2140	0.0326543069
213.000000	2142	0.0326848249
214.000000	2167	0.0330663005
215.000000	2335	0.0356298161
216.000000	2146	0.0327458610
217.000000	2478	0.0378118563
218.000000	2284	0.0348516060
219.000000	2362	0.0360418097
220.000000	2460	0.0375371939
221.000000	2426	0.0370183871
222.000000	2468	0.0376592660
223.000000	2566	0.0391546502
224.000000	2342	0.0357366293
225.000000	2474	0.0377508202
226.000000	2499	0.0381322957
227.000000	2207	0.0336766613
228.000000	2389	0.0364538033
229.000000	2376	0.0362554360
230.000000	2421	0.0369420920
231.000000	1906	0.0290836957
232.000000	2381	0.0363317311
233.000000	2597	0.0396276799
234.000000	2012	0.0307011521
235.000000	2372	0.0361943999
236.000000	2302	0.0351262684
237.000000	2034	0.0310368505
238.000000	2492	0.0380254826
239.000000	2439	0.0372167544
240.000000	2080	0.0317387655
241.000000	2395	0.0365453574
242.000000	2529	0.0385900664
243.000000	2417	0.0368810559
244.000000	2376	0.0362554360
245.000000	2352	0.0358892195
246.000000	2364	0.0360723278
247.000000	2329	0.0355382620
248.000000	2293	0.0349889372
249.000000	2533	0.0386511025
250.000000	2542	0.0387884337
251.000000	2326	0.0354924849
252.000000	2299	0.0350804913
253.000000	2203	0.0336156252
254.000000	2149	0.0327916381
255.000000	2381	0.0363317311
256.000000	2372	0.0361943999
257.000000	2305	0.0351720455
258.000000	2168	0.0330815595
259.000000	2003	0.0305638209
260.000000	2276	0.0347295338
