# pixel_index	counts_u16	rel_intensity
594.000000	1604	0.0244754711
595.000000	1568	0.0239261463
596.000000	1546	0.0235904479
597.000000	1563	0.0238498512
598.000000	1621	0.0247348745
599.000000	1605	0.0244907301
600.000000	1493	0.0227817197
601.000000	1792	0.0273441672
602.000000	1562	0.0238345922
603.000000	1754	0.0267643244
604.000000	1485	0.0226596475
605.000000	1600	0.0244144350
606.000000	1733	0.0264438849
607.000000	2071	0.0316014343
608.000000	2487	0.0379491875
609.000000	2695	0.0411230640
610.000000	3744	0.0571297780
611.000000	5991	0.0914168002
612.000000	10287	0.1569695583
613.000000	14713	0.2245059892
614.000000	12291	0.1875486381
615.000000	9636	0.1470359350
616.000000	11393	0.1738460365
617.000000	15014	0.2290989548
618.000000	17102	0.2609597925
619.000000	16558	0.2526588846
620.000000	11848	0.1807888914
621.000000	3327	0.0507667659
622.000000	1846	0.0281681544
623.000000	1906	0.0290836957
624.000000	1919	0.0292820630
625.000000	2081	0.0317540246
626.000000	1589	0.0242465858
627.000000	1910	0.0291447318
628.000000	2191	0.0334325170
629.000000	1553	0.0236972610
630.000000	1530	0.0233463035
631.000000	1780	0.0271610590
632.000000	1605	0.0244907301
633.000000	2260	0.0344853895
634.000000	1675	0.0255588617
635.000000	2076	0.0316777295
636.000000	1952	0.0297856107
637.000000	2156	0.0328984512
638.000000	2233	0.0340733959
639.000000	2186	0.0333562219
640.000000	1933	0.0294956893
641.000000	1655	0.0252536812
642.000000	1900	0.0289921416
643.000000	1990	0.0303654536
644.000000	2640	0.0402838178
645.000000	3144	0.0479743648
646.000000	3685	0.0562294957
647.000000	2126	0.0324406806
648.000000	1555	0.0237277790
649.000000	1807	0.0275730526
650.000000	1934	0.0295109483
651.000000	2184	0.0333257038
652.000000	3305	0.0504310674
653.000000	4094	0.0624704356
654.000000	3681	0.0561684596
655.000000	2112	0.0322270542
656.000000	2471	0.0377050431
657.000000	2366	0.0361028458
658.000000	2335	0.0356298161
659.000000	2948	0.0449835966
660.000000	3553	0.0542153048
661.000000	5465	0.0833905547
662.000000	7261	0.1107957580
663.000000	11688	0.1783474479
664.000000	25541	0.3897306783
665.000000	56908	0.8683604181
666.000000	65535	1.0000000000
667.000000	56955	0.8690775921
668.000000	32584	0.4971999695
669.000000	39856	0.6081635767
670.000000	47353	0.7225604639
671.000000	8869	0.1353322652
672.000000	2349	0.0358434424
673.000000	2583	0.0394140536
674.000000	2606	0.0397650111
675.000000	2038	0.0310978866
676.000000	1876	0.0286259251
677.000000	2713	0.0413977264
678.000000	2572	0.0392462043
679.000000	1601	0.0244296941
680.000000	2136	0.0325932708
681.000000	2162	0.0329900053
682.000000	2513	0.0383459220
683.000000	1978	0.0301823453
684.000000	1894	0.0289005875
685.000000	2003	0.0305638209
686.000000	3803	0.0580300603
687.000000	3965	0.0605020218
688.000000	1978	0.0301823453
689.000000	1789	0.0272983902
690.000000	1910	0.0291447318
691.000000	2183	0.0333104448
692.000000	1922	0.0293278401
693.000000	1722	0.0262760357
694.000000	1384	0.0211184863
695.000000	1800	0.0274662394
696.000000	1720	0.0262455177
697.000000	1875	0.0286106661
698.000000	1620	0.0247196155
699.000000	1845	0.0281528954
700.000000	2128	0.0324711986
701.000000	2557	0.0390173190
702.000000	1987	0.0303196765
703.000000	2369	0.0361486229
704.000000	2204	0.0336308843
705.000000	1959	0.0298924239
706.000000	1896	0.0289311055
707.000000	2166	0.0330510414
708.000000	2486	0.0379339284
709.000000	2293	0.0349889372
710.000000	2656	0.0405279622
711.000000	3487	0.0532082094
712.000000	5186	0.0791332876
713.000000	4126	0.0629587243
714.000000	2776	0.0423590448
715.000000	3239	0.0494239719
716.000000	3979	0.0607156481
717.000000	5159	0.0787212940
718.000000	6758	0.1031204700
719.000000	3598	0.0549019608
720.000000	3366	0.0513618677
721.000000	5170	0.0788891432
722.000000	7889	0.1203784237
723.000000	10709	0.1634088655
724.000000	12504	0.1907988098
725.000000	3688	0.0562752728
726.000000	1658	0.0252994583
727.000000	1787	0.0272678721
728.000000	1337	0.0204013123
729.000000	1868	0.0285038529
730.000000	1793	0.0273594263
731.000000	1741	0.0265659571
732.000000	1512	0.0230716411
733.000000	1431	0.0218356603
734.000000	1648	0.0251468681
735.000000	1795	0.0273899443
736.000000	1575	0.0240329595
737.000000	1553	0.0236972610
738.000000	1600	0.0244144350
739.000000	1740	0.0265506981
740.000000	2552	0.0389410239
741.000000	2015	0.0307469291
742.000000	1572	0.0239871824
743.000000	1729	0.0263828489
744.000000	1681	0.0256504158
745.000000	2061	0.0314488441
746.000000	1596	0.0243533989
747.000000	2101	0.0320592050
748.000000	2083	0.0317845426
749.000000	2045	0.0312046998
750.000000	2597	0.0396276799
751.000000	4435	0.0676737621
752.000000	20563	0.3137712673
753.000000	46999	0.7171587701
754.000000	7389	0.1127489128
755.000000	2326	0.0354924849
756.000000	1982	0.0302433814
757.000000	1902	0.0290226596
758.000000	1796	0.0274052033
759.000000	2226	0.0339665827
760.000000	2084	0.0317998016
761.000000	1681	0.0256504158
762.000000	1930	0.0294499123
763.000000	2116	0.0322880903
764.000000	1858	0.0283512627
765.000000	2216	0.0338139925
766.000000	1933	0.0294956893
767.000000	2127	0.0324559396
768.000000	1764	0.0269169146
769.000000	2014	0.0307316701
770.000000	2317	0.0353551537
771.000000	2270	0.0346379797
772.000000	2311	0.0352635996
773.000000	1919	0.0292820630
774.000000	1605	0.0244907301
775.000000	1621	0.0247348745
776.000000	1949	0.0297398337
777.000000	2138	0.0326237888
778.000000	2050	0.0312809949
779.000000	2502	0.0381780728
780.000000	2272	0.0346684977
781.000000	2002	0.0305485618
782.000000	1966	0.0299992370
783.000000	1893	0.0288853285
784.000000	1971	0.0300755322
785.000000	2164	0.0330205234
786.000000	2347	0.0358129244
787.000000	3435	0.0524147402
788.000000	10892	0.1662012665
789.000000	13634	0.2080415045
790.000000	1932	0.0294804303
791.000000	1646	0.0251163500
792.000000	1683	0.0256809339
793.000000	1679	0.0256198978
794.000000	1694	0.0258487831
795.000000	1888	0.0288090333
